Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
04:36:33 PM,-18.6,-75.53,-9.44,40.05,-4.86,-8.87,-11.16,-17.74
04:36:33 PM,-18.88,-74.67,-12.02,39.77,-6.01,-11.16,-12.59,-23.17
04:36:33 PM,-18.88,-74.67,-12.87,40.05,-6.29,-11.16,-12.59,-23.46
04:36:33 PM,-18.88,-74.67,-13.16,40.91,-5.72,-11.16,-12.59,-23.46
04:36:33 PM,-18.88,-74.67,-11.73,41.77,-4.01,-11.16,-12.59,-23.46
04:36:33 PM,-18.88,-74.67,-10.87,42.34,-3.15,-11.16,-12.59,-23.17
04:36:33 PM,-18.88,-68.95,-11.16,41.77,-3.43,-11.16,-12.3,-23.17
04:36:33 PM,-11.16,-40.34,-12.02,40.91,-4.86,-3.43,-0.29,-15.16
04:36:33 PM,21.46,-13.73,-11.44,40.05,-6.01,27.75,28.9,12.59
04:36:33 PM,28.61,-4.58,-9.44,39.2,-6.29,37.19,38.34,29.47
04:36:33 PM,28.9,-4.29,-8.58,38.91,-6.29,37.48,38.34,30.61
04:36:33 PM,28.9,-4.29,-9.73,38.34,-6.87,37.48,38.62,30.61
04:36:33 PM,28.9,-4.29,-12.02,38.05,-9.16,37.48,38.62,30.61
04:36:33 PM,28.9,-4.29,-13.73,37.48,-10.87,37.48,38.62,30.61
04:36:33 PM,28.9,-5.15,-14.88,36.91,-11.73,37.48,38.62,30.9
04:36:33 PM,26.89,-8.87,-15.74,36.05,-12.59,36.91,37.19,30.61
04:36:33 PM,-3.43,-18.02,-17.17,35.19,-14.31,24.6,24.89,23.75
04:36:33 PM,-23.75,-30.04,-21.17,34.05,-17.45,4.86,1.72,0
04:36:33 PM,-24.03,-31.47,-22.89,33.76,-18.02,2.57,-1.72,-6.01
04:36:33 PM,-24.03,-31.47,-23.75,33.47,-18.6,2.57,-1.72,-6.01
04:36:33 PM,-24.03,-31.47,-24.03,32.62,-18.6,2.57,-1.72,-6.01
