Time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
16:37:07,-8.87,-29.75,-28.32,-14.88,24.6,-21.46,-14.59,-21.17
16:37:07,-8.87,-29.75,-26.89,-14.59,27.18,-21.46,-14.59,-21.17
16:37:07,-8.87,-29.75,-24.32,-14.59,30.04,-21.46,-14.59,-21.17
16:37:07,-8.87,-29.75,-22.03,-15.16,32.04,-21.46,-14.59,-21.17
16:37:07,-3.15,-23.46,-19.17,-16.02,34.05,-19.45,-12.02,-20.6
16:37:07,21.46,11.73,-15.16,-15.45,37.48,13.73,20.03,8.87
16:37:07,24.6,21.46,-9.16,-13.45,42.34,27.75,31.76,30.61
16:37:07,24.89,21.46,-5.15,-12.59,44.92,27.75,31.76,30.61
16:37:07,24.89,21.46,-4.29,-11.16,46.06,27.75,31.76,30.61
16:37:07,24.89,21.46,-4.01,-10.01,46.35,27.75,31.76,30.61
16:37:07,24.89,21.46,-4.86,-9.73,44.63,27.75,31.76,30.61
16:37:07,24.6,21.46,-8.58,-10.01,41.77,27.75,31.76,30.61
16:37:07,23.75,20.03,-13.73,-12.02,37.77,27.75,31.76,30.61
16:37:07,-2.57,-5.44,-18.6,-12.3,35.48,9.73,14.31,20.31
16:37:07,-16.31,-18.88,-22.89,-12.59,33.47,-13.73,-8.01,-4.86
16:37:07,-16.31,-18.88,-28.9,-13.45,30.04,-14.02,-8.3,-6.87
16:37:07,-16.31,-18.88,-30.9,-14.02,29.47,-14.02,-8.3,-6.87
16:37:07,-16.31,-18.88,-30.04,-15.16,30.33,-14.02,-8.3,-6.87
16:37:07,-16.31,-18.88,-27.47,-16.02,31.47,-14.02,-8.3,-6.87
16:37:07,-16.31,-18.88,-23.75,-16.59,34.05,-14.02,-8.3,-6.87
16:37:07,-16.31,-18.6,-18.6,-16.59,36.91,-14.02,-8.3,-6.87
16:37:07,6.01,0,-13.16,-15.74,39.2,-5.44,2,-2.29
